Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,76012,6593180
urban,60615,4917982
urban,02120,40096131
urban,53715,92941220
urban,53715,37182089
urban,90813,28707470
rural,24219,9711826
urban,29925,36908277
urban,49464,2989682
rural,98948,1514536
rural,76450,2409670
urban,95376,13511202
urban,70115,18723514
urban,97701,85326204
urban,34428,21258613
urban,54303,7687664
urban,60010,45519761
urban,83706,52164237
urban,02186,28683490
urban,85224,4124410
urban,85224,79120626
urban,72761,4781715
rural,79316,1452533
urban,60426,34936334
rural,40831,8136147
urban,97216,23485901
urban,24060,22976932
urban,77375,22872413
urban,48198,540628
urban,54720,2037529
urban,16365,6429583
urban,78664,43153817
urban,78664,24426467
urban,14611,247760
urban,77479,66140214
urban,77479,20994142
urban,77479,468609
urban,48912,73866883
urban,97128,8671257
rural,68845,18603517
urban,44460,9119970
urban,55746,7501583
urban,78852,8681918
urban,47905,39370059
urban,47905,37761526
urban,32907,19408648
urban,20169,9666729
urban,53210,30068376
urban,71446,6830952
urban,10019,159078546
urban,03060,28084974
urban,03060,17633461
urban,31082,1223247
rural,67950,550969
urban,38801,109464909
urban,60123,15729348
urban,60123,42590648
urban,43725,11716781
urban,85719,78682824
urban,56601,17066572
urban,97420,35670170
urban,01605,18345808
urban,75904,19462767
rural,41501,62019632
urban,75766,4257421
urban,47408,44819358
urban,30577,4725053
urban,90804,2387372
urban,92392,9048798
rural,28376,4887137
urban,29646,46311603
urban,72211,36369263
urban,77008,180332130
urban,49417,1409925
urban,65613,7425820
urban,32209,72800448
rural,48413,305022
urban,22911,32082680
urban,47303,67561561
urban,92024,45390088
urban,71901,18031731
urban,75482,12130496
urban,33133,33527633
urban,51301,7940384
urban,45750,39803116
urban,45801,57984848
urban,45211,38733387
urban,01803,157171565
urban,08046,13521286
rural,21620,4894183
urban,97123,15038836
urban,70503,72003139
urban,55805,51350599
urban,55805,84245513
urban,55805,11861379
urban,98632,20318619
urban,92555,2755504
urban,92555,45046764
rural,44691,10934550
urban,37604,54961565
urban,37604,8991715
urban,30096,3879129
urban,18015,153188643
urban,93611,51750865
urban,88201,13048915
urban,88201,3148546
urban,70065,12073676
urban,93635,15286490
urban,11203,68659381
urban,11203,27221576
urban,11203,597413
urban,32073,57956401
urban,17745,2761330
urban,92324,30443399
urban,29730,40544822
urban,27514,165324871
urban,75503,54417733
urban,41230,5243503
urban,33606,181954300
urban,97527,18154308
urban,06076,3437040
rural,35045,2549522
urban,01440,12447758
urban,24740,24362968
urban,42101,45182708
urban,53095,10207416
urban,38133,22942399
rural,36460,2239390
rural,78957,642124
urban,46032,14750520
urban,46032,18120794
rural,35968,6172011
urban,83704,1079787
urban,50703,26658319
urban,30240,21177767
urban,45219,86287717
urban,45219,89863245
rural,39339,1860702
urban,44310,10426057
urban,92563,34442183
urban,45177,7040291
urban,60153,132722790
urban,11206,30660340
rural,79501,325447
rural,75840,1524048
urban,98104,96577460
rural,23860,16453155
urban,47501,4288928
urban,50314,108219989
urban,50314,4607611
urban,89118,50439217
urban,48910,29235471
urban,94945,12052644
urban,16673,3834735
urban,17331,24361357
urban,49007,67937512
urban,97227,48282292
urban,40207,88581580
urban,41042,20505445
rural,13669,7277505
urban,44122,14786763
urban,44122,25500340
urban,44122,1957100
urban,02111,117866312
urban,50613,1655469
urban,21207,23270220
urban,63122,6857740
urban,20735,62421879
urban,73505,38069916
urban,73505,8164030
urban,38668,123776
urban,10567,30034191
urban,87507,3397175
rural,95476,4534615
urban,90623,9757717
urban,75182,10603930
urban,89521,13062248
urban,92243,24477247
urban,55433,79433562
urban,96080,20342982
urban,17822,115546015
urban,29303,110935127
urban,19446,20447392
urban,75146,8993726
urban,14214,18777700
urban,29486,5087138
rural,42728,594398
urban,85013,106835268
urban,74136,138281827
urban,33710,14159741
urban,14048,4879184
urban,55082,10309762
urban,89434,18205810
urban,41101,59194041
urban,80033,26882204
urban,46256,38604869
urban,46256,1168913
urban,38655,55303717
urban,12308,38043076
urban,12308,600179
urban,76048,10886344
urban,80601,7608911
urban,46845,923351
urban,46845,92726364
urban,70130,558515
urban,74023,1735231
urban,87532,4002774
urban,73099,10985977
rural,75951,3107611
urban,17543,7798562
urban,28352,13783801
urban,73159,9456696
urban,46580,7278630
urban,42345,4609469
urban,19128,8172654
urban,06610,81423051
urban,71103,53399058
urban,71103,103572565
urban,86504,7568832
urban,73114,16073783
urban,73114,1495616
rural,84337,1015533
urban,06360,37985798
urban,98332,23548465
urban,33063,23716407
rural,23847,2331500
urban,33308,11143239
urban,33308,50690986
urban,42718,6319993
urban,17325,18975189
urban,89149,38450732
urban,32720,20610496
rural,65065,21873431
urban,27610,102349825
urban,82609,1613846
urban,48183,28222963
urban,34452,41579938
urban,36617,30029791
rural,52761,4351457
urban,22042,209234857
urban,20910,68224251
rural,15537,3903491
urban,85015,5164561
urban,85015,13637553
rural,41858,6539494
urban,44857,16187758
urban,78520,21739875
urban,85745,24870076
urban,60115,22531987
urban,86001,77306236
urban,15143,10512829
rural,32055,33182270
urban,60612,79659967
urban,60612,83110045
urban,60612,187462972
urban,21502,87339343
urban,79556,4051578
urban,33428,14864343
urban,76227,827816
urban,60608,21185781
urban,36117,13665407
urban,70570,16804918
urban,91367,4122053
rural,32456,1993150
rural,38301,110837691
urban,03246,14187954
urban,34698,15068359
urban,02703,32802468
urban,73162,732615
urban,35007,22167740
urban,70006,24063404
rural,41701,26257624
urban,92870,8121854
urban,33470,21428801
urban,08318,43915981
urban,28601,21331978
urban,53538,5572169
urban,85364,64083129
urban,78572,15834989
urban,52501,7683551
urban,76244,12003861
urban,33150,38377646
urban,55008,5208136
urban,28139,8664298
urban,08103,140033136
urban,08103,65153957
urban,76017,1938029
urban,44143,13841454
urban,67042,3161403
urban,92869,4557700
urban,38120,151558756
urban,91740,14400522
urban,61021,9838807
urban,96734,19809811
urban,39530,8251133
rural,42345,4609469
urban,31036,2373866
urban,71202,6250275
urban,15666,3741954
rural,31023,2488604
urban,44708,29102297
urban,78758,42827769
urban,40741,17652140
urban,46011,16790129
urban,78404,69764557
rural,38821,6637390
urban,44109,54587946
urban,66160,204240437
urban,98310,77796156
urban,42420,8720221
urban,23602,13307925
urban,55313,5148598
urban,36535,18756156
urban,80918,3820872
rural,37748,5883308
urban,62650,11895622
urban,02840,10266668
urban,18510,15394547
urban,18510,55765630
urban,67002,12530427
urban,91763,8053135
urban,14850,20371293
urban,56303,128333374
urban,75801,7178690
urban,66067,8095949
urban,40509,11630310
urban,60005,79376598
rural,59901,35603113
urban,83404,8816729
urban,83404,41405772
urban,94588,45243355
urban,92354,1739476
urban,92354,111226269
urban,10802,27662965
urban,27892,4373059
urban,64804,35524065
urban,64804,48870448
urban,25301,118598439
urban,25301,1884579
urban,81601,20158912
urban,55792,6729668
urban,59715,25041757
urban,75204,1899689
urban,88220,7320551
urban,68601,8995950
urban,80021,2546915
rural,36732,5542645
urban,78957,642124
urban,35205,41445733
urban,02118,118451198
urban,66048,3497768
urban,90712,28900920
rural,62052,4068481
urban,10595,157843507
urban,84405,15936246
urban,46016,15377535
urban,33936,5768663
urban,23805,36874106
urban,29569,32562596
urban,27293,8242401
urban,80206,833516
